canonical_id,woo_product_id,woo_parent_product_id,woo_variation_id,sku,slug,name,entity_type,category,brand,status,approval_status,release_state,customer_purchasable,catalog_visibility,stock_status,price_usd,currency,billing_model,short_summary,description,benefits,audience,customer_goals,eligibility_rules,exclusions,fulfillment_type,fulfillment_platform,canonical_url,checkout_url,booking_url,payment_plan_available,payment_plan_amount,payment_plan_url,payment_processor,coupon_relationship,wix_plan_id,wordpress_page_id,source_authority,source_ids,source_updated_at,snapshot_generated_at,catalog_version,record_checksum
ccc:course:culinary-cannabis,150,150,,CCC-CRS-CUL,culinary-cannabis,Culinary Cannabis,COURSE,"[""Course"", ""Culinary"", ""Education""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,1000.0,USD,ONE_TIME,"Culinary Cannabis structured online masterclass ($1,000 one-time).","Comprehensive culinary cannabis masterclass covering gourmet infusions, lipid science, precision dosing, and professional kitchen techniques.","[""Full access to the Culinary Cannabis masterclass curriculum"", ""Advanced lipid extraction & infusion techniques"", ""Precision dosing & lab-testing comprehension"", ""Certificate of completion from Compassionate Care Cultivators""]","[""Aspiring cannabis chefs"", ""Edible creators"", ""Culinary professionals""]","[""Master gourmet cannabis cooking and commercial infusion standards""]","[""21+ required""]",[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/culinary-cannabis/,https://cccultivate.com/cart/?add-to-cart=150,,True,300.0,https://cccultivate.com/product/culinary-cannabis-payment-plan/,WOOCOMMERCE,,,https://cccultivate.com/product/culinary-cannabis/,woocommerce,"{""woo_parent_product_id"": 150, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/culinary-cannabis-1000""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,da8af67973c04c249dff417286835180ca88195ceb0e0b3c5286754c526a03a8
ccc:course:culinary-cannabis:payment-plan,455,455,,CCC-CRS-CUL-PP,culinary-cannabis-payment-plan,Culinary Cannabis Payment Plan,COURSE_PAYMENT_PLAN,"[""Course"", ""Payment Plan"", ""Culinary""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,300.0,USD,INSTALLMENT,Culinary Cannabis 4-Month Installment Payment Plan ($300/mo via Stripe).,Flexible 4-month installment payment plan for the Culinary Cannabis masterclass ($300/month).,"[""Immediate access to Culinary Cannabis course content"", ""Spread tuition across monthly installments""]","[""Culinary students seeking flexible monthly payments""]","[""Enroll in Culinary Cannabis with monthly budgeting""]","[""Valid credit card for recurring monthly billing""]",[],DIGITAL_DELIVERY,STRIPE,https://cccultivate.com/product/culinary-cannabis-payment-plan/,https://buy.stripe.com/cNi3cugI527OeoS9BleIw0J,,False,,,STRIPE,,,https://cccultivate.com/product/culinary-cannabis-payment-plan/,woocommerce_external,"{""woo_parent_product_id"": 455, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/culinary-cannabis-300""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,7741e36ece5b16ac1704cfec9536a0b8d285f6ea0cfedd7632ecb27479c74821
ccc:course:grow-cannabis-home,151,151,,CCC-CRS-GCH,grow-cannabis-home,Grow Cannabis @ Home,COURSE,"[""Course"", ""Cultivation"", ""Education""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,1500.0,USD,ONE_TIME,"Grow Cannabis @ Home structured cultivation masterclass ($1,500 one-time).","Complete indoor and outdoor home cultivation course. Covers genetics, lighting, nutrients, canopy management, harvesting, and curing.","[""Complete seed-to-harvest cultivation training"", ""Environment, lighting, and nutrient optimization guides"", ""Pest management & organic growing protocols"", ""Direct instructor guidance and harvest troubleshooting""]","[""Home growers"", ""Caregivers"", ""Horticulture enthusiasts""]","[""Successfully grow clean, high-yield cannabis at home""]","[""21+ and compliant with local cultivation regulations""]",[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/grow-cannabis-home/,https://cccultivate.com/cart/?add-to-cart=151,,True,425.0,https://cccultivate.com/product/grow-cannabis-home-payment-plan/,WOOCOMMERCE,,,https://cccultivate.com/product/grow-cannabis-home/,woocommerce,"{""woo_parent_product_id"": 151, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/grow-cannabis-home-1500""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,efe44d91909c552556009e1c9a471a54e9a7555d716a46988d2cbb0b73732cf2
ccc:course:grow-cannabis-home:payment-plan,457,457,,CCC-CRS-GCH-PP,grow-cannabis-home-payment-plan,Grow Cannabis @ Home Payment Plan,COURSE_PAYMENT_PLAN,"[""Course"", ""Payment Plan"", ""Cultivation""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,425.0,USD,INSTALLMENT,Grow Cannabis @ Home 4-Month Installment Payment Plan ($425/mo via Stripe).,Flexible 4-month installment payment plan for Grow Cannabis @ Home ($425/month).,"[""Immediate access to Grow Cannabis @ Home course curriculum"", ""Spread tuition across monthly installments""]","[""Growers seeking flexible monthly payments""]","[""Enroll in Grow Cannabis @ Home with monthly installments""]","[""Valid credit card for recurring billing""]",[],DIGITAL_DELIVERY,STRIPE,https://cccultivate.com/product/grow-cannabis-home-payment-plan/,https://buy.stripe.com/14A7sKfE113KbcG14PeIw0K,,False,,,STRIPE,,,https://cccultivate.com/product/grow-cannabis-home-payment-plan/,woocommerce_external,"{""woo_parent_product_id"": 457, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/grow-cannabis-home-425""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,862fecf3203e76542967791aa810877c8679e3bbdc88f63dfefaca61e422e6a1
ccc:course:grow-cook-with-me,152,152,,CCC-CRS-CGM,cook-grow-with-me,Cook & Grow With Me,COURSE,"[""Course"", ""Bundle"", ""Education""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,2500.0,USD,ONE_TIME,"Cook & Grow With Me comprehensive dual masterclass bundle ($2,500 one-time).",Complete dual masterclass combining both Grow Cannabis @ Home and Culinary Cannabis into one comprehensive curriculum.,"[""Full access to both Grow Cannabis @ Home and Culinary Cannabis"", ""Comprehensive seed-to-table cannabis mastery"", ""Save $500 compared to enrolling in both courses separately"", ""Priority instructor access and dual certifications""]","[""Dedicated craft cultivators and edible creators"", ""Commercial entrepreneurs""]","[""Master both cultivation and culinary infusion disciplines""]","[""21+ required""]",[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/cook-grow-with-me/,https://cccultivate.com/cart/?add-to-cart=152,,True,675.0,https://cccultivate.com/product/cook-grow-with-me-payment-plan/,WOOCOMMERCE,,,https://cccultivate.com/product/cook-grow-with-me/,woocommerce,"{""woo_parent_product_id"": 152, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/grow-cook-with-me-2500""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,365e9c556f3a06ec08de24d3f795c53dcd0e70fb0c63549ca036f7ff5ea54152
ccc:course:grow-cook-with-me:payment-plan,460,460,,CCC-CRS-CGM-PP,cook-grow-with-me-payment-plan,Cook & Grow With Me Payment Plan,COURSE_PAYMENT_PLAN,"[""Course"", ""Payment Plan"", ""Bundle""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,675.0,USD,INSTALLMENT,Cook & Grow With Me 4-Month Installment Payment Plan ($675/mo via Stripe).,Flexible 4-month installment payment plan for the Cook & Grow With Me dual bundle ($675/month).,"[""Immediate access to both Grow Cannabis @ Home and Culinary Cannabis"", ""Spread tuition across monthly installments""]","[""Students seeking dual bundle enrollment with monthly payments""]","[""Enroll in Cook & Grow With Me with monthly installments""]","[""Valid credit card for recurring billing""]",[],DIGITAL_DELIVERY,STRIPE,https://cccultivate.com/product/cook-grow-with-me-payment-plan/,https://buy.stripe.com/9B6dR81Nb8wc5Sm14PeIw0L,,False,,,STRIPE,,,https://cccultivate.com/product/cook-grow-with-me-payment-plan/,woocommerce_external,"{""woo_parent_product_id"": 460, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/grow-cook-with-me-675""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,fa886316efab508dd30791c5d346e0b13c6d9a608f785b7974d8b8c75654ef8c
ccc:book:infused-basics,87,87,,CCC-BK-IB01,infused-basics,Infused Basics: The Beginner's Guide to Infuse Everything Edible,BOOK,"[""Book"", ""Culinary"", ""Education""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,40.0,USD,ONE_TIME,Infused Basics: The Beginner's Guide to Infuse Everything Edible ($40.00).,"The foundational culinary cannabis book by Compassionate Care Cultivators. Covers infusion principles, decarboxylation, dosage calculations, and delicious starter recipes.","[""Complete beginner guide to cannabis infusions and decarboxylation"", ""Step-by-step recipes for oils, butters, and edibles"", ""Accurate dosage calculation tables"", ""Companion culinary resource for kitchen novices and pros""]","[""Home cooks"", ""Edible enthusiasts"", ""Culinary beginners""]","[""Learn to make homemade cannabis butter and oils"", ""Calculate precise edible dosages"", ""Master basic infusion recipes""]","[""21+ or valid state authorization""]","[""This is a physical/digital book, NOT a structured online course""]",PHYSICAL_SHIPPING,WOOCOMMERCE,https://cccultivate.com/product/infused-basics/,https://cccultivate.com/cart/?add-to-cart=87,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/infused-basics/,woocommerce,"{""woo_parent_product_id"": 87, ""woo_variation_id"": null, ""wix_entity"": ""Pages/infusedbasics""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,eee59839f1f550012b8655ab786b301aaf39914b74a25f66bdbf4f8866bac36f
ccc:service:is-cannabis-right-for-me,1046,,,CCC-SRV-ICRFM75,is-cannabis-right-for-me,Is Cannabis Right For Me?,SERVICE,"[""Education"", ""Consultation"", ""Wellness""]",Wake'n'Bake Lounge,ACTIVE_CATALOG_GAP,OWNER_APPROVED,RELEASED,True,visible,instock,75.0,USD,ONE_TIME,Personalized 1-on-1 cannabis educational consultation ($75) with Budly T. Cannaguide.,"A dedicated, one-on-one educational consultation with Budly T. Cannaguide to discuss cannabis fundamentals, cannabinoid education, consumption methods, and answer your questions in a supportive, judgment-free environment.","[""1-on-1 personalized educational consultation with Budly T. Cannaguide"", ""Personalized cannabinoid & terpene guidance"", ""Custom consumption method recommendations"", ""Curated product roadmap tailored to your wellness goals"", ""Follow-up educational resources & links""]","[""Cannabis beginners"", ""Wellness seekers"", ""Curious adults exploring hemp & CBD""]","[""Understand if cannabis or CBD fits personal wellness"", ""Learn responsible dosing fundamentals"", ""Get personalized product recommendations""]","[""Must be 21+ or have valid state medical recommendation""]","[""Not medical advice, diagnosis, treatment, or prescription""]",CONSULTATION_SERVICE,WIX_BOOKINGS,https://wakenbakelounge.com/service-page/is-cannabis-right-for-me,https://wakenbakelounge.com/service-page/is-cannabis-right-for-me,https://wakenbakelounge.com/service-page/is-cannabis-right-for-me,False,,,WIX_BOOKINGS,,,,wix_bookings,"{""woo_parent_product_id"": null, ""woo_variation_id"": null, ""wix_entity"": ""Bookings/Services/is-cannabis-right-for-me""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,bc3f1809ba3aa9d03d9270754bb66df5534e8d4e328a3c9eac8ab57037b9357b
wnb:community:lounge-pass,1047,,,WNB-MBR-PASS,lounge-pass,Wake'n'Bake Lounge Pass,COMMUNITY_MEMBERSHIP,"[""Membership"", ""Community""]",Wake'n'Bake Lounge,DRAFT,OWNER_APPROVED,APPROVED_NOT_RELEASED,False,hidden,not_applicable,0.0,USD,FREE,Free community access to Wake'n'Bake Lounge (approved for future launch; currently unreleased).,"Free community access to Wake'n'Bake Lounge platform. Join discussions, read curated recipes, and explore educational content.","[""Community access""]","[""Cannabis community members"", ""Culinary enthusiasts""]","[""Access free community resources and forum discussions""]","[""21+ age verification""]","[""Does not include store discounts or priority event access""]",MEMBERSHIP_ACCESS,WIX_PLANS,https://wakenbakelounge.com/plans-pricing,,,False,,,NONE,,a101970a-4600-4dbb-8e49-e91cfed93d80,1050,owner_approved_specification,"{""woo_parent_product_id"": null, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/a101970a-4600-4dbb-8e49-e91cfed93d80""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,3418b7c18a1d2d8d25ef8cb77b2585166f6e6a96518068b0d19b5eac6c8fe913
wnb:community:lounge-member,1048,,,WNB-MBR-MEMBER,lounge-member,Wake'n'Bake Lounge Member,COMMUNITY_MEMBERSHIP,"[""Membership"", ""Community""]",Wake'n'Bake Lounge,DRAFT,OWNER_APPROVED,APPROVED_NOT_RELEASED,False,hidden,not_applicable,9.99,USD,RECURRING_MONTHLY,Wake'n'Bake Lounge Member ($9.99/mo) with 10% discount on Lounge Collection products.,"Join the premium Wake'n'Bake Lounge community for $9.99/month. Enjoy 10% off all Lounge Collection products, early access to new drops, exclusive forum sections, member badge, and priority event access.","[""Community access"", ""10% off all Lounge Collection products"", ""Early access to new drops"", ""Exclusive forum sections"", ""Member badge"", ""Priority event access""]","[""Active Wake'n'Bake community members"", ""Frequent Lounge Collection shoppers""]","[""Save 10% on Lounge Collection orders"", ""Get early drop alerts"", ""Access exclusive member forums""]","[""Active monthly subscription""]","[""Discounts apply only to Lounge Collection products""]",MEMBERSHIP_ACCESS,WIX_PLANS,https://wakenbakelounge.com/plans-pricing,,,False,,,TBD_APPROVED_PROCESSOR,LOUNGEMEMBER10,1658a089-db78-418c-85ed-ac01d5bcabb0,1051,owner_approved_specification,"{""woo_parent_product_id"": null, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/1658a089-db78-418c-85ed-ac01d5bcabb0""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,95b72182232c2dba8baf8fd9eb6e165de09ac0ec4d1d009f11da12a74fc07956
